Model,Version,Size,Training,mAP50-95,mAP50,mAP75,Precision,Recall,F1,Inference Time (ms),Preprocessing Time (ms),Postprocessing Time (ms),Total Time (ms),FPS,Model_Label
YOLOV10M,YOLOV10,M,Pretrained,0.2889205715238528,0.4108290947024464,0.312664045128306,0.4010692695914697,0.3894098179812466,0.3951535561783439,32.275515506936465,0.7566840675474555,0.7439982975514471,33.77619787203537,29.60664796519146,YOLOV10-M (Pretrained)
YOLOV10M,YOLOV10,M,Scratch,0.2439593542362157,0.3426545967269209,0.2823005877287655,0.4130577190341073,0.2834867834867834,0.3362208839193434,31.979220323980783,0.6831556155194425,0.7039207032693957,33.36629664276962,29.97036233017778,YOLOV10-M (Scratch)
YOLOV10S,YOLOV10,S,Pretrained,0.3010399247621104,0.4178817193988404,0.3463532466297778,0.4083980044345898,0.4063706563706564,0.407381808128283,14.707138598637783,0.7620100267667891,0.7105402618514575,16.17968888725603,61.80588557470053,YOLOV10-S (Pretrained)
YOLOV10S,YOLOV10,S,Scratch,0.2471351963757359,0.3620199934033762,0.280672758612941,0.3920386555177468,0.3159600582380505,0.3499118120479496,15.041198671819767,0.7423624448359604,0.6715313090276132,16.45509242568334,60.77146053820919,YOLOV10-S (Scratch)
YOLOV11M,YOLOV11,M,Pretrained,0.3121187601454994,0.4232451994486102,0.3541952096995571,0.4142977847891236,0.4170838813695957,0.4156861647456258,31.93474104980465,0.7239455721162307,4.159762904682463,36.81844952660335,27.16029634212177,YOLOV11-M (Pretrained)
YOLOV11M,YOLOV11,M,Scratch,0.2537617552292168,0.3784041120319059,0.2949391347513324,0.4092847769028871,0.3440430226144512,0.3738387773449205,32.137881899680565,0.7111753684547739,3.462607435043929,36.31166470317927,27.539359822091686,YOLOV11-M (Scratch)
YOLOV11S,YOLOV11,S,Pretrained,0.3066110357400953,0.4224415146023303,0.3554073172039565,0.3941270201027734,0.4142305570876999,0.4039288050417274,12.913714832192376,0.7328571471673532,6.814599134247291,20.46117111360702,48.87305787374914,YOLOV11-S (Pretrained)
YOLOV11S,YOLOV11,S,Scratch,0.246975396994838,0.371285463736972,0.2796098354227981,0.4,0.3276337562051847,0.3602183141297755,12.734925983007578,0.7021362852997861,5.718108845836061,19.155171114143425,52.20522406409825,YOLOV11-S (Scratch)
YOLOV8M,YOLOV8,M,Pretrained,0.3123076110908635,0.4359066596381896,0.3578976270213481,0.4297153663510066,0.4124379481522339,0.4208994275391235,18.093454098308246,0.4954801548689774,4.481753248796337,23.070687501973563,43.345045522135216,YOLOV8-M (Pretrained)
YOLOV8M,YOLOV8,M,Scratch,0.2471253502988144,0.3742688935665908,0.2769213671212013,0.3939782825712496,0.3544804616233188,0.3731871784748998,18.224471419480075,0.4593127761869844,4.078802433884351,22.76258662955141,43.93173835093746,YOLOV8-M (Scratch)
YOLOV8S,YOLOV8,S,Pretrained,0.3119675590805825,0.4179678039243632,0.3643229637635306,0.4284654200059364,0.3980970766685052,0.412723373838456,10.91452733,0.748213991,5.557204221,17.21994554,58.06498412,YOLOV8-S (Pretrained)
YOLOV8S,YOLOV8,S,Scratch,0.2584199709637264,0.3811067540874813,0.3003689367860143,0.411739775376139,0.3516059230344944,0.3793042760902944,10.73340179365644,0.7196461723669222,5.469719505848989,16.92276747187235,59.091989632435634,YOLOV8-S (Scratch)
