Model,Version,Size,Training,mAP50-95,mAP50,mAP75,Precision,Recall,F1,Inference Time (ms),Preprocessing Time (ms),Postprocessing Time (ms),Total Time (ms),FPS,Model_Label
aug,Unknown,Unknown,Scratch,0.306632195504522,0.7715438463162451,0.1917217353819784,0.8429510591672754,0.7786774628879892,0.8095405121010172,26.42195589950908,0.6999045302617853,6.917081781173661,34.038942210944526,29.37811621180374,Unknown-Unknown (Scratch)
background10,Unknown,Unknown,Scratch,0.3097438150063648,0.7712613767667247,0.1962657210708456,0.8335204941044357,0.7705283919858819,0.8007875714748084,18.430164775227087,0.5696725573832706,8.323072657873064,27.322909990483424,36.5993227056818,Unknown-Unknown (Scratch)
background20,Unknown,Unknown,Scratch,0.326740855520585,0.7883401842394557,0.2116676236958117,0.8529608938547486,0.7924841690023876,0.8216111499757843,26.468472741544247,1.104263765579563,7.920777055797942,35.49351356292175,28.174161969826752,Unknown-Unknown (Scratch)
background30,Unknown,Unknown,Scratch,0.2959935109885093,0.7284229507341804,0.1924935750998872,0.8336963484945548,0.6754905014014326,0.746301181328134,26.25822239255501,0.9877577897603228,8.459563764854003,35.70554394716933,28.0068552233687,Unknown-Unknown (Scratch)
background5,Unknown,Unknown,Scratch,0.3805139334180588,0.8320131413098056,0.2930431418563377,0.8792693471681798,0.844492889027302,0.8615303150648663,20.365835044343594,0.6833446827732911,8.09321830017587,29.14239802729276,34.314266075958095,Unknown-Unknown (Scratch)
background5_seed2,Unknown,Unknown,Scratch,0.4280339480747853,0.8436624400638804,0.3868243291701365,0.9152024446142092,0.8083670715249662,0.8584736653529201,14.01188909312931,0.5614441708993103,4.647553607947746,19.22088687197637,52.026735637156165,Unknown-Unknown (Scratch)
background5_seed3,Unknown,Unknown,Scratch,0.3376595560488512,0.8059846385664923,0.2329878015581569,0.844623200677392,0.8284023668639053,0.8364341491536084,15.078033462671913,0.4798982639686536,5.454064997197207,21.01199672383777,47.59185969534804,Unknown-Unknown (Scratch)
background10_seed2,Unknown,Unknown,Scratch,0.4087881555853342,0.8563365282681401,0.335425274865621,0.8917898543018186,0.8704972490397591,0.8810149191006513,11.473073633545535,0.4930792723671864,6.038094005721101,18.00424691163382,55.54245089550672,Unknown-Unknown (Scratch)
background10_seed3,Unknown,Unknown,Scratch,0.3873489508628125,0.8408718183323542,0.3010352284691152,0.8868575742867929,0.8535762483130904,0.8698987013673993,13.770235673982206,0.5503838061023566,5.240201198701131,19.560820678785696,51.12259942572504,Unknown-Unknown (Scratch)
background20_seed2,Unknown,Unknown,Scratch,0.2915893348483258,0.739408194939159,0.1806904395268181,0.8249738766980146,0.7376206789162255,0.7788556395922394,14.901173007437738,0.5435344400042194,4.336323020821911,19.781030468263868,50.55348363192565,Unknown-Unknown (Scratch)
background20_seed3,Unknown,Unknown,Scratch,0.3567366748148599,0.7831341891081098,0.272671252588978,0.8342031508525873,0.7484771445842475,0.7890184696853023,8.251754997370108,0.3050592714461727,0.1276439813906012,8.684458250206882,115.14823045826466,Unknown-Unknown (Scratch)
background30_seed2,Unknown,Unknown,Scratch,0.2612094813302588,0.6915893055989923,0.1532355702086626,0.8068628694659393,0.6602823627115125,0.7262502854532998,14.931297346444453,0.4901886965006085,4.688138457930694,20.10962450087576,49.72743275024608,Unknown-Unknown (Scratch)
background30_seed3,Unknown,Unknown,Scratch,0.2903845013100302,0.7342467996036538,0.1743834599158308,0.8194333476737754,0.6920481677566698,0.7503728508315276,14.255460626366784,0.5967117940722886,5.232227890420768,20.08440031085984,49.78988590758618,Unknown-Unknown (Scratch)
background_agg_results,Unknown,Unknown,Scratch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown-Unknown (Scratch)
